Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
372,Elfrid Payton,30,NOP,PG,18,7,388,4.6,12.6,0.366,0.1,0.7,0.167,4.5,11.9,0.379,0.371,0.5,0.9,0.571,1.7,6.5,8.2,18.2,2.2,1,6.5,3,9.9,93,119
372,Elfrid Payton,30,CHO,PG,6,2,123,1.2,8.4,0.143,0,0,,1.2,8.4,0.143,0.143,0,0,,0.4,4.8,5.2,8,2.4,1.2,2.8,4.8,2.4,62,116
373,Jamal Cain,25,NOP,SF,37,0,502,6.6,15.2,0.43,2.5,7.7,0.325,4.1,7.5,0.538,0.513,3.3,4.8,0.68,2.6,5.6,8.2,2.1,2.2,0.9,2.1,4.4,18.9,109,120
374,Keaton Wallace,25,ATL,PG,31,5,501,6.1,15.1,0.401,2.5,7.7,0.329,3.5,7.5,0.475,0.485,1,1,1,0.7,4,4.7,7.6,2.6,0.8,3.1,3.6,15.7,103,116
375,Jock Landale,29,HOU,C,42,3,500,7.9,14.8,0.533,1.1,2.5,0.423,6.8,12.3,0.556,0.569,2.6,3.9,0.675,5.5,7.9,13.3,3.6,1.3,1,2,4.8,19.5,126,111
376,Vince Williams Jr.,24,MEM,SG,27,5,499,6.2,15.6,0.401,2.4,8.9,0.274,3.8,6.7,0.569,0.479,1.8,2.2,0.792,2,7.1,9.1,5.1,1.1,0.7,3.1,4.2,16.7,104,115
377,Wendell Moore Jr.,23,2TM,SG,36,1,499,5.8,12.3,0.468,1.4,4,0.341,4.4,8.3,0.529,0.524,1.8,2.1,0.818,2.9,6.3,9.3,4.1,2,0.5,2.6,3,14.6,110,115
377,Wendell Moore Jr.,23,DET,SG,20,1,219,5.1,11,0.46,0.9,3.1,0.286,4.2,7.9,0.528,0.5,2.9,3.1,0.929,2.4,7.2,9.7,5.1,2.2,0.7,2,3.3,13.8,119,112
377,Wendell Moore Jr.,23,CHO,SG,16,0,280,6.3,13.3,0.474,1.8,4.7,0.37,4.6,8.6,0.531,0.539,0.9,1.4,0.625,3.3,5.6,9,3.3,1.8,0.4,3.2,2.8,15.3,103,118
378,Brandon Williams,25,DAL,PG,33,3,487,9.7,18.7,0.521,2.4,6,0.4,7.4,12.7,0.578,0.585,5.5,6.6,0.833,1.2,4.6,5.8,7.5,2.4,0.5,3.9,3.3,27.3,120,116
379,A.J. Lawson,24,TOR,SG,26,2,486,7.9,18.8,0.421,3.3,10,0.327,4.7,8.8,0.528,0.508,4.3,6.2,0.683,2,6.5,8.5,3.1,1.3,0.6,1.5,4.4,23.4,113,116
380,Grant Williams,26,CHO,PF,16,7,479,5.5,12.6,0.439,2.8,7.6,0.365,2.8,5,0.551,0.549,3.2,3.8,0.838,1.8,6.6,8.4,3.8,1.8,1.3,2.9,4.7,17,112,116
381,Lonnie Walker IV,26,PHI,SG,20,7,477,9.2,21.9,0.42,4.7,13.1,0.354,4.5,8.8,0.518,0.526,2.5,3.1,0.8,0.6,5.9,6.5,5.2,1,0.5,2.6,2.8,25.5,108,121
382,Duop Reath,28,POR,C,46,0,469,7.3,17.2,0.422,3.5,11,0.321,3.7,6.2,0.6,0.524,2.1,2.3,0.909,4.6,5,9.5,2.7,1.2,1.5,1.7,4.2,20.1,120,116
383,Reece Beekman,23,2TM,PG,36,4,469,3.7,11.4,0.327,0.7,4.2,0.175,3,7.1,0.418,0.36,1.7,2.2,0.762,1.4,2.8,4.1,6.7,3.5,0.2,2.2,3.8,9.9,95,115
383,Reece Beekman,23,GSW,PG,2,0,4,12.2,12.2,1,0,0,,12.2,12.2,1,1,0,0,,12.2,0,12.2,12.2,12.2,0,0,12.2,24.3,216,93
383,Reece Beekman,23,BRK,PG,34,4,465,3.6,11.3,0.321,0.7,4.3,0.175,2.9,7.1,0.409,0.354,1.7,2.2,0.762,1.3,2.8,4.1,6.6,3.4,0.2,2.2,3.7,9.7,94,115
384,Kai Jones,24,2TM,C,40,6,468,9.1,11.4,0.798,0.1,0.5,0.2,9,10.8,0.827,0.803,2.4,3.3,0.719,4.2,8.9,13,2.6,1.6,2.4,1.9,5.2,20.6,147,111
384,Kai Jones,24,LAC,C,28,0,208,6.2,8.5,0.722,0,0.5,0,6.2,8,0.765,0.722,2.1,2.8,0.75,3.6,7.3,10.9,2.4,1.4,3.1,2.4,5.4,14.4,131,108
384,Kai Jones,24,DAL,C,12,6,260,11.3,13.6,0.836,0.2,0.6,0.333,11.2,13,0.857,0.842,2.6,3.7,0.7,4.7,10,14.7,2.8,1.7,1.9,1.5,5,25.5,158,113
385,Larry Nance Jr.,32,ATL,PF,24,3,463,8.1,15.7,0.516,3.4,7.7,0.447,4.6,8,0.582,0.626,0.9,1.3,0.692,2.3,8.1,10.4,3.8,2,1.3,1.6,3.7,20.5,125,114
386,Collin Gillespie,25,PHO,PG,33,9,461,7.3,17,0.43,4.2,9.7,0.433,3.1,7.3,0.426,0.554,2,2.4,0.864,2.4,6,8.4,8.4,2.3,0.5,1.8,3.2,20.8,126,119
387,Rayan Rupert,20,POR,SG,52,0,460,6.1,15,0.408,1.7,6.2,0.271,4.4,8.8,0.506,0.465,2.4,3.2,0.767,2.7,4.6,7.4,2.6,1.7,0.4,3.2,3.9,16.4,99,117
388,GG Jackson II,20,MEM,PF,29,3,459,7.5,20.2,0.372,3.2,9.6,0.337,4.3,10.5,0.404,0.452,2.9,4.1,0.725,2.7,6.6,9.3,2.9,1.2,0.5,3.1,3,21.2,99,115
389,Jaylon Tyson,22,CLE,SG,47,3,453,6.8,15.8,0.43,2.1,6.2,0.345,4.7,9.7,0.484,0.497,2,2.5,0.792,3.9,6.3,10.2,4.7,1.4,0.3,2.8,5.3,17.7,111,114
390,Bol Bol,25,PHO,PF,36,10,448,10.6,20.2,0.525,3.5,10.3,0.344,7.1,9.9,0.711,0.612,2.2,2.9,0.769,2.2,9.3,11.5,2.4,1,2.8,2.2,2.2,26.9,117,117
391,Paul Reed,25,DET,C,45,0,438,7.9,15.6,0.507,0.9,3.1,0.286,7,12.5,0.561,0.535,3.5,4.6,0.762,4.4,9.1,13.5,4.8,4.3,2.7,2.9,8.2,20.2,118,103
392,Colin Castleton,24,3TM,C,26,4,432,5.1,10.9,0.469,0.2,1.8,0.125,4.9,9.2,0.537,0.48,3.2,4.2,0.763,5.9,7.7,13.6,3.1,0.9,1.1,2.6,5.7,13.7,114,116
392,Colin Castleton,24,MEM,C,10,0,46,2,10.1,0.2,0,4,0,2,6.1,0.333,0.2,10.1,11.1,0.909,3,6.1,9.1,0,1,1,1,6.1,14.1,112,115
392,Colin Castleton,24,TOR,C,11,4,288,5.3,10.7,0.5,0.3,1.3,0.25,5,9.4,0.536,0.516,2.2,3,0.722,5.7,7,12.7,3,1,1.3,3.5,5.3,13.2,106,115
392,Colin Castleton,24,PHI,C,5,0,98,6,12.1,0.5,0,2,0,6,10.1,0.6,0.5,3,4.5,0.667,8,10.6,18.6,5,0.5,0.5,0.5,6.5,15.1,138,119
393,Trevelin Queen,27,ORL,SG,31,2,430,6.5,17.1,0.381,2.6,8.9,0.286,3.9,8.1,0.486,0.456,2.1,2.4,0.857,3,3.3,6.3,4.4,3.6,1.2,2.6,4.4,17.7,103,108
394,Malaki Branham,21,SAS,SG,47,0,427,9.8,21.5,0.458,3.8,9.5,0.405,6,12,0.5,0.547,3.1,3.7,0.818,0.8,5,5.8,4.3,1.2,0.2,3.8,3.3,26.6,104,120
395,Jordan Miller,25,LAC,SF,37,0,420,6.8,15.7,0.433,0.9,4.5,0.211,5.9,11.3,0.521,0.463,3.3,4.1,0.8,2.7,4.1,6.8,4,2,0.6,3,3,17.8,103,112
396,Mo Bamba,26,2TM,C,32,2,413,6.2,13.3,0.464,1.8,6.4,0.278,4.4,6.9,0.638,0.531,2.3,3.2,0.704,3.8,13.4,17.2,2.1,1.1,3.7,2.4,6.7,16.4,111,106
396,Mo Bamba,26,LAC,C,28,2,352,6.7,14.4,0.466,2.1,7,0.3,4.6,7.4,0.623,0.539,2.4,3.5,0.68,3.6,13.1,16.8,2.2,1.3,3.9,2.7,6.9,17.9,110,104
396,Mo Bamba,26,NOP,C,4,0,61,3.2,7.1,0.444,0,3.2,0,3.2,4,0.8,0.444,1.6,1.6,1,4.8,15.1,19.9,1.6,0,2.4,0.8,5.6,7.9,123,117
