Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
422,Maxwell Lewis,22,BRK,SF,21,1,298,7.2,17,0.422,3.2,8.4,0.38,4,8.7,0.462,0.515,1.2,1.7,0.7,2.7,6.2,8.9,2.8,1.3,1.2,2,4.7,18.7,106,116
423,Jevon Carter,29,CHI,PG,36,1,321,8,21.2,0.377,5.1,15.3,0.333,2.9,6,0.488,0.497,1.2,1.5,0.8,0.6,5.1,5.7,5.8,1.9,0.4,1.6,2.2,22.2,107,117
424,Patty Mills,36,2TM,PG,29,0,321,5.4,14.4,0.375,3.9,11.3,0.347,1.5,3.2,0.476,0.51,2,2.1,0.929,0.6,2.7,3.3,3.9,2,0.5,2.6,3.6,16.7,105,121
424,Patty Mills,36,UTA,PG,17,0,260,4.8,14,0.342,3.1,10.5,0.298,1.7,3.5,0.474,0.454,0.9,0.9,1,0.6,3.3,3.9,3.9,2.2,0.6,3,2.2,13.7,92,121
424,Patty Mills,36,LAC,PG,12,0,61,8.1,16.1,0.5,7.3,14.5,0.5,0.8,1.6,0.5,0.725,6.5,7.3,0.889,0.8,0,0.8,4,0.8,0,0.8,9.7,29.9,156,118
425,Tre Mann,23,CHO,PG,13,0,319,10.8,24.8,0.435,3.7,9.2,0.4,7.1,15.6,0.455,0.509,2.9,3.2,0.905,1.8,4,5.9,6,1.1,0.6,3.9,3.7,28.2,105,120
426,Jalen Hood-Schifino,21,2TM,SG,15,0,315,5.8,15.3,0.378,2.2,7.2,0.304,3.6,8.1,0.442,0.449,2.8,3.3,0.857,0.5,3.8,4.2,5.8,0.8,1.1,2.8,3.9,16.6,100,122
426,Jalen Hood-Schifino,21,LAL,SG,2,0,14,3.5,3.5,1,0,0,,3.5,3.5,1,1,7,7,1,3.5,0,3.5,3.5,0,3.5,3.5,10.5,14.1,152,119
426,Jalen Hood-Schifino,21,PHI,SG,13,0,301,5.9,15.9,0.371,2.3,7.5,0.304,3.6,8.4,0.431,0.443,2.6,3.1,0.842,0.3,3.9,4.3,5.9,0.8,1,2.8,3.6,16.7,99,122
427,Torrey Craig,34,2TM,SF,26,4,314,5.9,14,0.422,3.7,10.3,0.364,2.2,3.7,0.583,0.556,1.2,1.9,0.667,4.2,7.2,11.4,2.6,1.2,1.9,1.2,5.3,16.8,121,112
427,Torrey Craig,34,CHI,SF,9,1,113,9.1,18.6,0.489,6.2,14.5,0.429,2.9,4.1,0.7,0.656,1.2,1.7,0.75,3.3,7,10.3,2.1,0.8,0.4,0,6.2,25.6,138,118
427,Torrey Craig,34,BOS,SF,17,3,201,4,11.2,0.356,2.2,7.7,0.29,1.7,3.5,0.5,0.456,1.2,2,0.625,4.7,7.2,12,3,1.5,2.7,2,4.7,11.5,110,109
428,Jordan McLaughlin,28,2TM,PG,46,0,314,4.8,11.2,0.431,2.9,7.1,0.413,1.9,4,0.462,0.563,2.6,3.4,0.773,0.9,3.7,4.7,7.9,2.5,0.2,2.5,2.8,15.2,122,118
428,Jordan McLaughlin,28,SAC,PG,28,0,190,4.1,11.3,0.364,2.6,6.7,0.385,1.5,4.6,0.333,0.477,2.8,4.1,0.688,1,4.4,5.4,6.2,2.8,0,2.8,3.3,13.6,106,116
428,Jordan McLaughlin,28,SAS,PG,18,0,124,5.8,10.9,0.536,3.5,7.8,0.45,2.3,3.1,0.75,0.696,2.3,2.3,1,0.8,2.7,3.5,10.5,1.9,0.4,1.9,1.9,17.5,148,120
429,Matisse Thybulle,27,POR,SG,15,5,312,6.5,13.7,0.477,3.3,7.5,0.438,3.3,6.2,0.525,0.597,1.1,2.3,0.467,2.2,5.9,8.1,4.4,5.1,1.4,2,2.2,17.4,119,107
430,Isaac Jones,24,SAC,PF,40,0,304,8.7,13.4,0.651,0.5,1.3,0.375,8.2,12.1,0.68,0.669,3.7,5.8,0.639,3.5,5.6,9.2,1.9,0.8,1.6,2.6,4.8,21.6,124,118
431,Tyler Kolek,23,NYK,PG,41,0,296,4.5,13.7,0.329,2.3,7.9,0.298,2.2,5.9,0.371,0.415,2.2,2.8,0.765,1.3,3.2,4.5,11.7,2,0.7,3,4.4,13.6,109,116
432,Mitchell Robinson,26,NYK,C,17,3,290,6.3,9.6,0.661,0,0,,6.3,9.6,0.661,0.661,2.2,3.3,0.684,8.9,8.4,17.3,2.2,2.7,3.1,1.7,4.4,14.9,143,108
433,Josh Minott,22,MIN,SF,46,0,276,7.9,16.1,0.489,2.5,7.7,0.326,5.4,8.4,0.638,0.567,3,3.4,0.895,2.1,6.3,8.4,3.2,2.7,2.1,2,6.1,21.3,121,108
434,Kobe Brown,25,LAC,PF,40,0,272,6,13,0.458,1.1,4.7,0.231,4.9,8.3,0.587,0.5,0.9,1.3,0.714,3.4,8.3,11.8,4.3,1.3,0.7,2.2,4.2,13.9,110,111
435,Dru Smith,27,MIA,SG,14,1,268,5.8,11.4,0.508,3,5.6,0.533,2.8,5.8,0.484,0.639,1.7,2.2,0.75,2.2,4.5,6.7,4.3,3.9,1.1,3.2,5.6,16.2,115,109
436,Isaiah Wong,24,CHO,SG,20,0,265,7.6,19.5,0.39,2.4,6.1,0.394,5.2,13.4,0.389,0.452,4.6,6.3,0.735,2.6,3.3,5.9,5.2,2,0,3.3,3.9,22.3,103,119
437,Marvin Bagley III,25,2TM,PF,31,2,265,9.8,18.9,0.519,0.5,3.4,0.158,9.3,15.5,0.598,0.533,4.1,6.2,0.657,6.8,8.2,14.9,2,1.6,1.4,2.1,3.2,24.2,117,115
437,Marvin Bagley III,25,WAS,C,19,1,166,10.9,20.3,0.535,0.6,2.9,0.2,10.3,17.5,0.59,0.549,4.3,6.6,0.652,7.7,8.3,16,2,2,1.4,3.2,3.4,26.7,113,116
437,Marvin Bagley III,25,MEM,PF,12,1,99,8,16.4,0.486,0.5,4.2,0.111,7.5,12.2,0.615,0.5,3.8,5.6,0.667,5.2,8,13.1,1.9,0.9,1.4,0.5,2.8,20.2,125,114
438,Oscar Tshiebwe,25,UTA,C,14,1,255,7.9,13.2,0.6,0,0,,7.9,13.2,0.6,0.6,4.3,5.8,0.742,8.7,14.3,23,1.7,2.4,0.2,1.9,4.5,20.1,135,114
439,Drew Timme,24,BRK,PF,9,2,254,8.8,20,0.441,1.8,6.9,0.257,7.1,13.1,0.537,0.485,2,3.1,0.625,3.3,9.4,12.7,3.9,0.8,0.2,2.9,4.1,21.4,100,117
440,Marcus Bagley,23,PHI,SF,10,4,253,5.3,13.4,0.391,1,6.2,0.156,4.3,7.2,0.595,0.428,1.6,1.9,0.8,4.5,9.2,13.6,1.9,1.8,2.3,1.4,3.1,13.1,105,115
441,Cam Spencer,24,MEM,SG,25,1,252,6.3,15.1,0.415,3.5,9.8,0.358,2.8,5.3,0.517,0.53,3.5,3.5,1,2.2,3.3,5.5,6.3,1.7,0.2,1.1,4.2,19.6,134,117
442,Kevin Love,36,MIA,PF,23,9,251,8.1,22.9,0.357,4.8,13.3,0.358,3.4,9.5,0.354,0.461,3.2,4.6,0.696,4.4,14.3,18.7,4.4,3,0.8,2.8,4.2,24.2,103,106
443,Pat Spencer,28,GSW,PG,39,0,250,8,19.7,0.406,1,4.3,0.227,7,15.4,0.456,0.431,2.1,2.9,0.733,2.9,6,9,9.3,2.7,0.6,3.5,3.9,19.1,103,111
444,JT Thor,22,2TM,PF,20,0,249,4.8,11.3,0.424,1.1,4,0.286,3.6,7.3,0.5,0.475,2.9,4.2,0.682,3.8,5.4,9.2,1.1,1.5,1.7,1.7,3.3,13.6,106,118
444,JT Thor,22,CLE,PF,9,0,42,10.3,17.2,0.6,3.4,6.9,0.5,6.9,10.3,0.667,0.7,8,9.2,0.875,3.4,3.4,6.9,1.1,2.3,3.4,6.9,6.9,32.1,114,110
444,JT Thor,22,WAS,PF,11,0,207,3.7,10.1,0.364,0.7,3.4,0.2,3,6.7,0.448,0.398,1.8,3.2,0.571,3.9,5.7,9.7,1.1,1.4,1.4,0.7,2.5,9.9,103,120
445,Branden Carlson,25,OKC,C,32,0,246,8.4,18.9,0.443,4.3,12.9,0.333,4.1,6,0.677,0.557,2.7,3.5,0.778,3.3,7.2,10.5,2.7,1,4.1,1.4,4.3,23.8,122,106
446,Dariq Whitehead,20,BRK,SF,20,0,246,7.9,19.4,0.406,6.7,15,0.446,1.2,4.5,0.273,0.578,0.6,1,0.6,0.8,5.1,5.9,2.4,1.2,0.2,3,4.5,23.1,102,118
447,Johnny Davis,22,WAS,SG,34,0,242,6.3,15.3,0.41,1.4,5.7,0.241,4.9,9.6,0.51,0.455,1.8,2.9,0.6,2,5.5,7.5,2.2,2.9,1.2,1.4,3.5,15.7,99,117
448,Jaylen Martin,21,2TM,SF,16,0,239,6.2,14.7,0.419,1.4,4.6,0.304,4.8,10.2,0.471,0.466,1.8,2,0.9,2.2,6.6,8.8,3.4,1.8,0,2.4,2.8,15.5,99,120
448,Jaylen Martin,21,BRK,SF,3,0,5,10,19.9,0.5,10,10,1,0,10,0,0.75,0,0,,0,0,0,0,0,0,0,10,29.9,137,124
448,Jaylen Martin,21,WAS,SF,13,0,234,6.1,14.6,0.417,1.2,4.5,0.273,4.9,10.2,0.48,0.458,1.8,2,0.9,2.2,6.7,8.9,3.5,1.8,0,2.4,2.6,15.2,99,120
449,Bones Hyland,24,2TM,PG,24,0,239,9.7,24.3,0.398,6.6,16.9,0.39,3.1,7.4,0.417,0.534,4.7,5.4,0.885,1,4.1,5.2,6.6,3.7,0.8,5.2,6,30.7,107,108
449,Bones Hyland,24,LAC,PG,20,0,222,10,25.5,0.391,6.9,17.7,0.388,3.1,7.8,0.4,0.526,5.1,5.8,0.885,1.1,4.2,5.3,6.2,4,0.9,5.3,5.8,31.9,105,107
449,Bones Hyland,24,MIN,PG,4,0,17,5.8,8.7,0.667,2.9,5.8,0.5,2.9,2.9,1,0.833,0,0,,0,2.9,2.9,11.6,0,0,2.9,8.7,14.5,146,119
450,Xavier Tillman Sr.,26,BOS,C,33,2,231,2.8,11.5,0.245,1.1,6.9,0.156,1.7,4.6,0.381,0.292,0.7,0.9,0.75,2.2,7.2,9.3,1.5,2.4,1.1,3,3.9,7.4,67,109
451,Garrett Temple,38,TOR,SG,28,0,227,3.8,12.7,0.3,1.3,5.9,0.214,2.5,6.8,0.375,0.35,2.3,2.5,0.917,1.9,4.2,6.1,6.6,3.6,0.4,2.1,4.9,11.2,98,112
452,Jared Rhoden,25,2TM,SG,14,2,227,8.9,18.5,0.483,2.5,8.3,0.308,6.4,10.2,0.625,0.552,4.7,5.3,0.88,3,5.9,8.9,3.4,2.1,0.4,1.9,4.2,25.1,122,115
452,Jared Rhoden,25,CHO,SG,4,0,12,8.2,32.8,0.25,0,8.2,0,8.2,24.6,0.333,0.25,0,0,,8.2,8.2,16.4,8.2,4.1,0,4.1,4.1,16.4,72,111
452,Jared Rhoden,25,TOR,SG,10,2,215,9,17.7,0.506,2.7,8.3,0.324,6.3,9.4,0.667,0.582,4.9,5.6,0.88,2.7,5.8,8.5,3.1,2,0.4,1.8,4.3,25.5,127,115
453,Luka Garza,26,MIN,C,39,0,219,11.7,23.7,0.495,2.3,8.1,0.278,9.5,15.5,0.609,0.543,5.4,7.9,0.686,7,5.2,12.2,2.5,1.4,0.7,2.7,6.5,31.1,118,114
454,Ariel Hukporti,22,NYK,C,25,1,217,4.8,7.1,0.677,0,0,,4.8,7.1,0.677,0.677,1.4,3,0.462,3.2,8.5,11.7,2.5,0.2,3.4,4.8,7.3,11,95,113
455,Alex Reese,25,2TM,PF,15,0,216,5.9,12.3,0.481,3.4,9.4,0.366,2.5,3,0.846,0.62,2.1,2.7,0.75,2.1,8.7,10.7,0.9,2.3,2.3,1.4,4.8,17.3,122,114
455,Alex Reese,25,OKC,PF,1,0,2,24,24,1,0,0,,24,24,1,1,0,0,,24,0,24,0,0,0,0,0,48,212,119
455,Alex Reese,25,PHI,PF,14,0,214,5.8,12.2,0.472,3.5,9.4,0.366,2.3,2.8,0.833,0.613,2.1,2.8,0.75,1.8,8.8,10.6,0.9,2.3,2.3,1.4,4.8,17,121,114
456,Dario Šarić,30,DEN,C,16,4,210,4.8,13.3,0.362,1.6,6,0.269,3.2,7.3,0.438,0.422,1.6,2.3,0.7,3.2,8.2,11.4,5.3,1.6,0.2,3.4,4.4,12.8,97,116
457,Adam Flagler,25,OKC,SG,37,0,203,5.9,22.7,0.26,3.3,17,0.194,2.6,5.7,0.458,0.333,0.2,0.5,0.5,1.7,4.7,6.4,2.8,1.9,0.7,0.9,3.5,15.4,80,110
458,Chuma Okeke,26,2TM,PF,9,3,196,5,10,0.5,2.8,7,0.393,2.3,3,0.75,0.638,0.5,0.8,0.667,5.3,6.5,11.8,3.8,1.3,1,0.8,1.3,13.3,144,119
458,Chuma Okeke,26,PHI,PF,7,3,171,5.2,9.5,0.545,2.9,6.3,0.455,2.3,3.2,0.727,0.697,0.6,0.9,0.667,5.8,6.6,12.4,3.7,1.4,0.9,0.9,1.4,13.8,151,119
458,Chuma Okeke,26,CLE,PF,2,0,25,3.8,13.5,0.286,1.9,11.5,0.167,1.9,1.9,1,0.357,0,0,,1.9,5.8,7.7,3.8,0,1.9,0,0,9.6,101,116
459,Drew Peterson,25,BOS,PF,25,1,186,4.6,11.1,0.415,3.5,8.9,0.394,1.1,2.2,0.5,0.573,1.9,2.4,0.778,2.4,8.4,10.8,3.5,1.3,0.5,2.2,4.9,14.6,119,112
460,Markelle Fultz,26,SAC,PG,21,0,184,7.4,17.8,0.418,1.1,2.1,0.5,6.4,15.7,0.407,0.448,0.3,0.3,1,1.6,3.7,5.3,7.2,2.7,0.5,4,3.2,16.2,93,116
461,Lester Quiñones,24,2TM,SG,13,0,183,8.2,20.7,0.397,3.4,11.7,0.295,4.8,9,0.529,0.481,2.9,3.4,0.846,1.1,4,5,6.4,0.8,0.5,3.7,4.8,22.8,102,124
461,Lester Quiñones,24,PHI,SG,4,0,17,11.6,23.2,0.5,0,8.7,0,11.6,14.5,0.8,0.5,2.9,2.9,1,8.7,2.9,11.6,2.9,0,0,11.6,0,26.1,84,126
461,Lester Quiñones,24,NOP,SG,9,0,166,7.9,20.4,0.386,3.8,12,0.317,4.1,8.5,0.483,0.479,2.9,3.5,0.833,0.3,4.1,4.4,6.7,0.9,0.6,2.9,5.3,22.5,105,124
462,Bronny James,20,LAL,SG,27,1,181,5.7,18.2,0.313,2.4,8.7,0.281,3.3,9.5,0.343,0.381,3,3.8,0.786,1.1,3.8,4.9,6,2.4,0.8,3.5,3.5,16.8,89,115
463,Enrique Freeman,24,IND,PF,22,1,181,4.2,9.8,0.432,0.3,2.7,0.1,4,7.2,0.556,0.446,3.5,5,0.684,2.9,5,8,2.4,0.8,0.8,1.6,5.6,12.2,109,118
464,Cole Swider,25,2TM,SF,10,0,169,6.3,17.9,0.349,4.3,13.4,0.319,2,4.6,0.438,0.468,0,0.3,0,1.4,6.3,7.7,0.9,1.1,0.6,1.1,3.4,16.8,93,116
464,Cole Swider,25,DET,SF,2,0,13,0,18.5,0,0,18.5,0,0,0,,0,0,0,,0,7.4,7.4,3.7,0,0,0,3.7,0,15,118
464,Cole Swider,25,TOR,SF,8,0,156,6.8,17.9,0.379,4.6,13,0.357,2.2,4.9,0.438,0.509,0,0.3,0,1.5,6.2,7.7,0.6,1.2,0.6,1.2,3.4,18.2,100,116
465,Jaylen Nowell,25,NOP,SG,8,0,168,7.5,21,0.356,2.3,7.8,0.296,5.2,13.3,0.391,0.411,2,3.2,0.636,1.7,4,5.8,5.2,0.3,1.2,2.3,2.6,19.3,94,125
466,Markieff Morris,35,2TM,PF,15,2,165,6.2,20.8,0.3,2.7,10.7,0.25,3.6,10.1,0.353,0.364,1.5,1.8,0.833,0.9,5.9,6.8,6.2,0.6,0.9,1.5,4.8,16.6,91,118
466,Markieff Morris,35,DAL,PF,7,0,41,5.9,26,0.227,2.4,15.3,0.154,3.5,10.6,0.333,0.273,0,0,,0,9.4,9.4,4.7,1.2,1.2,2.4,2.4,14.2,63,115
466,Markieff Morris,35,LAL,PF,8,2,124,6.3,19,0.333,2.8,9.1,0.304,3.6,9.9,0.36,0.406,2,2.4,0.833,1.2,4.8,6,6.7,0.4,0.8,1.2,5.6,17.5,103,119
467,Killian Hayes,23,BRK,PG,6,5,162,5.5,13.2,0.419,2.5,6.5,0.381,3.1,6.8,0.455,0.512,3.1,3.7,0.833,1.5,4,5.5,9.5,1.2,1.2,2.8,4,16.6,119,118
468,MarJon Beauchamp,24,3TM,SF,35,0,156,8.4,20.2,0.415,3.1,9,0.345,5.3,11.2,0.472,0.492,4.7,6.2,0.75,3.4,10.3,13.7,3.4,1.2,0.3,4.7,4.4,24.6,99,113
468,MarJon Beauchamp,24,MIL,SF,26,0,122,7.1,18.6,0.383,2.8,8.3,0.333,4.4,10.3,0.423,0.457,3.6,4.8,0.75,2.8,9.9,12.7,3.2,1.2,0.4,5.2,4,20.6,90,113
468,MarJon Beauchamp,24,LAC,SF,3,0,17,11.6,20.3,0.571,5.8,8.7,0.667,5.8,11.6,0.5,0.714,5.8,11.6,0.5,5.8,2.9,8.7,5.8,0,0,2.9,5.8,34.8,133,118
468,MarJon Beauchamp,24,NYK,SF,6,0,17,14.6,32.1,0.455,2.9,14.6,0.2,11.7,17.5,0.667,0.5,11.7,11.7,1,5.8,20.4,26.3,2.9,2.9,0,2.9,5.8,43.8,122,104
469,Lamar Stevens,27,MEM,PF,17,1,155,8.7,18.9,0.46,2.4,8.1,0.296,6.3,10.8,0.583,0.524,2.4,3.3,0.727,1.2,10.2,11.4,2.4,1.5,0.9,3,4.5,22.2,103,112
470,Tyson Etienne,25,BRK,PG,7,0,151,5.6,17.1,0.327,4.3,14.5,0.295,1.3,2.6,0.5,0.452,2.6,3.3,0.8,1,2,3,4,1,0.3,2.6,5.6,18.1,98,121
471,Josh Richardson,31,MIA,SG,8,0,150,3.7,12.6,0.289,2,7.3,0.273,1.7,5.3,0.313,0.368,1.3,1.3,1,2,2,4,4,2.7,0.3,2.7,5.7,10.6,87,114
472,Jeenathan Williams,25,HOU,SG,20,0,147,8.9,20.5,0.435,2,8.6,0.231,7,11.9,0.583,0.484,1.7,2.6,0.625,1.7,2.6,4.3,3,2.6,1.3,4.6,5.3,21.5,92,111
473,Bruno Fernando,26,TOR,C,17,2,147,8.5,16,0.531,0,0,,8.5,16,0.531,0.531,2,2.6,0.75,6.9,9.8,16.7,5.9,1.3,2.9,4.6,8.8,19,108,111
474,Damion Lee,32,PHO,SG,25,0,144,9.3,25.4,0.365,3.1,12.7,0.243,6.2,12.7,0.486,0.426,6.9,7.2,0.952,1,5.8,6.9,3.8,2.1,0,3.4,2.1,28.5,98,120
475,Oshae Brissett,26,PHI,SF,6,2,142,6.6,13.5,0.487,2.1,6.2,0.333,4.5,7.3,0.619,0.564,2.8,4.9,0.571,2.4,5.2,7.6,1.4,1.4,1,2.8,4.9,18.1,105,120
476,Elijah Harkless,24,UTA,SG,10,0,138,3.8,12.2,0.314,2.4,8.7,0.28,1.4,3.5,0.4,0.414,1,2.1,0.5,3.1,4.2,7.3,2.8,3.5,0.3,1,6.3,11.1,103,118
477,Pete Nance,24,2TM,PF,13,1,138,5,11.3,0.438,3.2,8.5,0.375,1.8,2.8,0.625,0.578,0.4,0.7,0.5,1.8,5.7,7.4,3.5,0.7,0.7,1.4,6,13.4,117,119
477,Pete Nance,24,PHI,C,7,0,68,3.6,10.9,0.333,2.9,8.7,0.333,0.7,2.2,0.333,0.467,0.7,1.4,0.5,1.4,5.8,7.2,2.2,0.7,0,0,7.2,10.9,112,122
477,Pete Nance,24,MIL,PF,6,1,70,6.2,11.7,0.529,3.5,8.3,0.417,2.8,3.5,0.8,0.676,0,0,,2.1,5.5,7.6,4.8,0.7,1.4,2.8,4.8,15.9,121,116
478,Vlatko Čančar,27,DEN,PF,13,0,136,3.5,9.2,0.385,1.4,5.3,0.267,2.1,3.9,0.545,0.462,0,0,,2.1,9.2,11.3,3.2,1.1,0.7,3.9,3.5,8.5,83,116
479,Kylor Kelley,27,2TM,C,11,2,126,5.4,8.5,0.636,0,0,,5.4,8.5,0.636,0.636,2.3,3.8,0.6,4.6,10.4,15,1.9,0.4,1.2,1.5,5.8,13.1,129,118
479,Kylor Kelley,27,DAL,C,8,1,67,7.2,9.4,0.769,0,0,,7.2,9.4,0.769,0.769,2.9,4.3,0.667,5.8,9.4,15.2,1.4,0,1.4,0.7,5.8,17.3,159,117
479,Kylor Kelley,27,NOP,C,3,1,59,3.3,7.4,0.444,0,0,,3.3,7.4,0.444,0.444,1.6,3.3,0.5,3.3,11.5,14.8,2.5,0.8,0.8,2.5,5.7,8.2,95,119
480,Alex Ducas,24,OKC,SG,21,0,125,4.6,11.5,0.4,3.8,8.1,0.476,0.8,3.5,0.222,0.567,0.8,0.8,1,3.5,6.5,10,1.9,1.9,0,1.5,4.6,13.8,120,110
481,Spencer Jones,23,DEN,SF,20,0,125,4.2,13.1,0.324,0.4,6.5,0.059,3.8,6.5,0.588,0.338,1.2,1.2,1,3.1,3.5,6.5,1.9,1.9,1.9,1.9,6.5,10,86,116
482,Kobe Bufkin,21,ATL,SG,10,0,124,6.8,17.7,0.383,1.5,7.2,0.211,5.3,10.6,0.5,0.426,4.9,6.8,0.722,1.9,6,7.9,6.4,1.1,0.8,3,3.4,20,103,118
483,Tyler Smith,20,MIL,PF,23,0,122,9.5,19.8,0.48,5.2,11.9,0.433,4.4,7.9,0.55,0.61,2.4,3.2,0.75,2.4,7.5,9.9,1.6,1.2,1.6,3.2,4.4,26.6,110,113
484,De'Anthony Melton,26,GSW,SG,6,2,121,8.8,21.7,0.407,5.2,14.1,0.371,3.6,7.6,0.474,0.528,2,3.2,0.625,2.4,5.6,8,6.8,2.8,0.8,4,7.2,24.9,106,110
485,Moses Brown,25,2TM,C,13,2,119,13.8,19.9,0.694,0,0,,13.8,19.9,0.694,0.694,3.2,4.5,0.727,4.9,13,17.8,0.8,2.4,1.6,4.5,6.9,30.8,116,109
485,Moses Brown,25,IND,C,9,0,46,13.6,20.9,0.65,0,0,,13.6,20.9,0.65,0.65,3.1,5.2,0.6,4.2,9.4,13.6,0,2.1,1,6.3,6.3,30.3,98,112
485,Moses Brown,25,DAL,C,4,2,73,13.9,19.2,0.724,0,0,,13.9,19.2,0.724,0.724,3.3,4,0.833,5.3,15.2,20.5,1.3,2.7,2,3.3,7.3,31.1,130,107
486,TyTy Washington Jr.,23,PHO,PG,16,0,118,5.9,18.9,0.311,1.7,8.8,0.19,4.2,10.1,0.417,0.356,1.3,2.5,0.5,1.7,3.8,5.4,6.7,1.3,0,1.3,1.7,14.7,92,123
487,Trey Alexander,21,DEN,SG,24,0,117,5.3,16.9,0.317,1.2,7,0.176,4.1,9.9,0.417,0.354,1.2,1.6,0.75,0.4,4.5,4.9,4.5,0.8,0.4,2.1,4.1,13.2,84,120
488,Joe Ingles,37,MIN,SF,19,1,114,2.6,10,0.261,1.3,6.5,0.2,1.3,3.5,0.375,0.326,0,0,,0.9,3.9,4.8,10,0.9,0,3.9,5.2,6.5,86,116
489,Sidy Cissoko,20,2TM,SF,22,0,114,5.5,12.8,0.433,1.3,5.5,0.231,4.3,7.2,0.588,0.483,1.3,3.8,0.333,3.4,5.5,8.9,6.4,0.9,0.4,4.7,4.3,13.6,91,119
489,Sidy Cissoko,20,SAS,SF,17,0,54,8.1,16.1,0.5,2.7,6.3,0.429,5.4,9.8,0.545,0.583,0.9,5.4,0.167,2.7,6.3,9,5.4,0.9,0,1.8,5.4,19.7,110,121
489,Sidy Cissoko,20,POR,SF,5,0,60,3.2,9.7,0.333,0,4.9,0,3.2,4.9,0.667,0.333,1.6,2.4,0.667,4.1,4.9,8.9,7.3,0.8,0.8,7.3,3.2,8.1,75,118
490,Tony Bradley,27,IND,C,14,0,113,12.3,19.1,0.644,0.4,1.3,0.333,11.9,17.9,0.667,0.656,0.9,2.6,0.333,7.7,10.2,17.9,2.6,0.9,3.8,2.1,4.7,25.9,127,111
491,Jaylen Sims,26,CHO,SG,6,0,112,5.3,12.3,0.429,2.6,6.6,0.4,2.6,5.7,0.462,0.536,5.3,6.6,0.8,1.3,1.3,2.6,5.3,1.3,0.4,3.5,4.4,18.4,113,121
492,Pacome Dadiet,19,NYK,SG,18,0,111,4.5,13.9,0.323,2.7,8.5,0.316,1.8,5.4,0.333,0.419,1.8,2.7,0.667,1.3,6.7,8,2.2,1.3,0.9,1.8,3.1,13.4,94,115
493,Patrick Baldwin Jr.,22,2TM,SF,24,0,107,8.5,15.6,0.543,5.8,10.2,0.565,2.7,5.3,0.5,0.729,0.9,1.8,0.5,2.2,8.9,11.1,1.3,1.3,0.9,2.2,3.1,23.6,122,118
493,Patrick Baldwin Jr.,22,WAS,SF,22,0,101,8,15.5,0.515,5.2,9.9,0.524,2.8,5.7,0.5,0.682,0.9,1.9,0.5,2.4,8,10.4,0.9,1.4,0.9,2.4,2.4,22.1,116,119
493,Patrick Baldwin Jr.,22,LAC,SF,2,0,6,16.4,16.4,1,16.4,16.4,1,0,0,,1.5,0,0,,0,24.6,24.6,8.2,0,0,0,16.4,49.2,285,105
494,Chris Livingston,21,MIL,SF,21,1,106,4.1,12.3,0.333,0,3.6,0,4.1,8.7,0.474,0.333,5.5,7.3,0.75,4.6,11.4,16,2.3,2.3,0,2.7,3.6,13.7,97,110
495,Jae Crowder,34,SAC,PF,9,2,103,3.3,10.4,0.318,1.9,7.1,0.267,1.4,3.3,0.429,0.409,2.4,2.8,0.833,2.8,6.6,9.5,2.8,1.4,0,1.9,4.7,10.9,103,118
496,Justin Minaya,25,POR,SF,19,0,101,3.8,10.1,0.381,1,4.8,0.2,2.9,5.3,0.545,0.429,0,1,0,2.4,2.4,4.8,3.4,2.9,0.5,2.4,5.8,8.7,89,115
497,Keshad Johnson,23,MIA,SF,16,0,98,9.2,13.2,0.692,1.5,3.6,0.429,7.6,9.7,0.789,0.75,2,4.6,0.444,3.1,11.2,14.3,2,2.5,2,2,5.6,21.9,128,107
498,Yuki Kawamura,23,MEM,PG,22,0,93,5.5,15,0.367,3.5,11.5,0.304,2,3.5,0.571,0.483,3.5,4.5,0.778,0,6,6,9.5,1,0,2.5,4,18,117,117
499,JD Davison,22,BOS,PG,16,0,93,6.5,18.3,0.353,2.2,9.7,0.222,4.3,8.6,0.5,0.412,2.7,3.8,0.714,1.1,5.9,7,7,2.7,0.5,7,1.1,17.8,82,110
500,Luke Travers,23,CLE,SG,12,0,88,2.7,10.9,0.25,0,4.9,0,2.7,6,0.455,0.25,1.1,1.1,1,4.4,6.6,10.9,4.4,0.5,0.5,4.4,3.3,6.6,76,115
501,Stanley Umude,25,MIL,SG,22,0,86,2.8,14.6,0.192,1.7,8.4,0.2,1.1,6.2,0.182,0.25,1.1,2.2,0.5,2.2,7.3,9.6,2.2,1.7,3.4,1.7,4.5,8.4,68,110
502,Kevin Knox,25,GSW,SF,14,0,84,10.4,20.8,0.5,2.3,8.7,0.267,8.1,12.2,0.667,0.556,3.5,4.6,0.75,4.1,5.8,9.8,2.9,1.2,2.3,2.3,3.5,26.6,116,112
503,Isaiah Jackson,23,IND,C,5,1,84,8,13.2,0.609,0,0,,8,13.2,0.609,0.609,4,8,0.5,6.3,9.7,16,2.9,1.7,4.6,2.9,8,20,119,108
504,Marcus Garrett,26,CHO,SG,4,0,79,6.8,16.8,0.407,1.9,5,0.375,5,11.8,0.421,0.463,1.9,2.5,0.75,0.6,3.1,3.7,8.1,1.9,1.2,3.7,6.2,17.4,99,118
