Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P FGA,0-3 FGA,3-10 FGA,10-16 FGA,16-3P FGA,3P FGA,2P FG,0-3 FG,3-10 FG,10-16 FG,16-3P,3P FG,2P Assist,3P Assist ,%FGA Dunks,Total Dunks,%3PA Corner,3P% Corner
532,Harrison Ingram,22,SAS,SF,5,0,35,0.5,13.1,0.75,0.25,0.25,0,0.25,0.25,0.667,1,1,,0,0,0.5,,0,0,0,
533,Miles Norris,24,BOS,PF,3,0,35,0.222,21.6,0.222,0.111,0.111,0,0,0.778,0,0,0,,,0.286,,1,0,0,0,
534,David Duke Jr.,25,SAS,SG,6,0,34,0.429,12.8,0.571,0.286,0.286,0,0,0.429,0.375,0.75,0,,,0.5,0.333,1,0,0,0.833,0.6
535,D.J. Carton,24,TOR,SG,4,0,33,0.143,13.6,0.571,0.143,0.429,0,0,0.429,0.25,1,0,,,0,1,,0,0,0.333,0
536,Bryce McGowens,22,POR,SG,13,0,32,0.286,11.3,0.714,0.143,0.429,0.143,0,0.286,0.4,1,0.167,0.5,,0,0.75,,0.143,2,0.25,0
537,Leonard Miller,21,MIN,SF,13,0,32,0.4,10.9,0.667,0.4,0.2,0.067,0,0.333,0.6,0.667,0.667,0,,0,0.667,,0.067,1,0,
538,Ulrich Chomche,19,TOR,PF,7,0,32,0.4,6.9,1,0.4,0.2,0.4,0,0,0.4,0.5,0,0.5,,,1,,0.2,1,,
539,Jalen Bridges,23,PHO,SF,8,0,30,0.286,25.3,0,0,0,0,0,1,,,,,,0.286,,1,0,0,0.429,0.667
540,Jahmir Young,24,CHI,PG,6,0,30,0.8,11.9,0.6,0.6,0,0,0,0.4,1,1,,,,0.5,0,0,0,0,0,
541,Kevin McCullar Jr.,23,NYK,SF,4,0,29,0.286,9.4,0.857,0.143,0.429,0.286,0,0.143,0.333,1,0.333,0,,0,0.5,,0,0,0,
542,Trentyn Flowers,19,LAC,SF,6,0,27,0.364,10.3,0.818,0.182,0.364,0.182,0.091,0.182,0.444,0.5,0.5,0.5,0,0,0.5,,0.091,1,0.5,0
543,Emanuel Miller,24,CHI,PF,6,0,25,0.5,4.7,0.875,0.75,0.125,0,0,0.125,0.571,0.5,1,,,0,0.75,,0.125,1,0,
