Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P FGA,0-3 FGA,3-10 FGA,10-16 FGA,16-3P FGA,3P FGA,2P FG,0-3 FG,3-10 FG,10-16 FG,16-3P,3P FG,2P Assist,3P Assist ,%FGA Dunks,Total Dunks,%3PA Corner,3P% Corner
52,De'Aaron Fox,27,SAS,PG,17,17,578,0.446,14.5,0.661,0.207,0.182,0.139,0.132,0.339,0.535,0.655,0.49,0.41,0.541,0.274,0.364,0.808,0.025,7,0.147,0.429
53,Jalen Williams,23,OKC,SG,69,69,2237,0.484,13.3,0.709,0.201,0.237,0.187,0.084,0.291,0.533,0.723,0.43,0.523,0.388,0.365,0.395,0.782,0.069,70,0.094,0.406
54,Donovan Mitchell,28,CLE,SG,71,71,2232,0.443,17,0.52,0.156,0.183,0.084,0.098,0.48,0.512,0.607,0.531,0.441,0.388,0.368,0.222,0.541,0.014,16,0.096,0.475
55,Harrison Barnes,32,SAS,PF,82,82,2230,0.508,14.8,0.473,0.25,0.184,0.038,0,0.527,0.591,0.69,0.468,0.538,,0.433,0.586,0.981,0.042,29,0.547,0.477
56,Julius Randle,30,MIN,PF,69,69,2226,0.485,12.4,0.666,0.252,0.262,0.121,0.03,0.334,0.555,0.751,0.423,0.465,0.429,0.344,0.447,0.843,0.052,46,0.21,0.273
57,Amen Thompson,22,HOU,SF,69,42,2225,0.557,7.8,0.869,0.42,0.298,0.096,0.055,0.131,0.599,0.758,0.471,0.493,0.263,0.275,0.523,0.96,0.212,138,0.582,0.377
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.488,13.1,0.679,0.119,0.415,0.134,0.011,0.321,0.541,0.667,0.518,0.509,0.462,0.375,0.451,0.952,0.029,31,0.206,0.4
59,Desmond Bane,26,MEM,SG,69,68,2205,0.484,14.7,0.589,0.188,0.246,0.093,0.063,0.411,0.548,0.712,0.492,0.4,0.5,0.392,0.426,0.634,0.005,5,0.187,0.308
60,Naz Reid,25,MIN,C,80,17,2200,0.462,15.4,0.499,0.2,0.255,0.044,0,0.501,0.544,0.681,0.468,0.366,,0.379,0.641,0.92,0.034,25,0.227,0.39
61,Tyus Jones,28,PHO,PG,81,58,2174,0.448,18.3,0.413,0.06,0.174,0.16,0.019,0.587,0.496,0.78,0.479,0.422,0.385,0.414,0.393,0.873,0,0,0.344,0.5
62,Myles Turner,28,IND,C,72,72,2174,0.481,16.2,0.514,0.175,0.206,0.073,0.06,0.486,0.561,0.746,0.425,0.559,0.49,0.396,0.846,0.981,0.09,59,0.14,0.491
63,Evan Mobley,23,CLE,PF,71,71,2167,0.557,9.4,0.746,0.421,0.27,0.038,0.018,0.254,0.621,0.787,0.429,0.353,0.188,0.37,0.64,0.894,0.22,192,0.2,0.435
64,Taurean Prince,30,MIL,SF,80,73,2166,0.457,18,0.348,0.16,0.119,0.058,0.012,0.652,0.492,0.646,0.361,0.333,0.5,0.439,0.773,0.986,0.018,8,0.507,0.453
65,Stephon Castle,20,SAS,PG,81,47,2162,0.428,12.6,0.663,0.311,0.217,0.084,0.052,0.337,0.501,0.655,0.369,0.373,0.333,0.285,0.46,0.789,0.078,69,0.147,0.347
66,Deni Avdija,24,POR,SF,72,54,2161,0.476,12.9,0.595,0.322,0.219,0.026,0.027,0.405,0.552,0.665,0.416,0.364,0.478,0.365,0.448,0.848,0.027,20,0.181,0.323
67,Jaylen Brown,28,BOS,SF,63,63,2158,0.463,13.4,0.68,0.197,0.265,0.145,0.073,0.32,0.529,0.75,0.456,0.407,0.439,0.324,0.386,0.724,0.045,43,0.184,0.439
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,0.406,20.2,0.328,0.082,0.1,0.072,0.074,0.672,0.484,0.679,0.485,0.469,0.28,0.368,0.815,0.923,0.016,8,0.241,0.373
69,Bennedict Mathurin,22,IND,SF,72,49,2149,0.458,13.2,0.662,0.273,0.237,0.066,0.087,0.338,0.519,0.635,0.485,0.393,0.338,0.34,0.584,0.714,0.049,39,0.139,0.4
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,0.416,15.9,0.522,0.136,0.252,0.106,0.028,0.478,0.492,0.645,0.419,0.458,0.526,0.334,0.211,0.55,0.012,4,0.184,0.417
71,Scottie Barnes,23,TOR,PF,65,65,2134,0.446,12.6,0.737,0.219,0.26,0.176,0.082,0.263,0.508,0.687,0.428,0.476,0.356,0.271,0.452,0.737,0.066,60,0.132,0.351
72,Max Christie,21,2TM,SG,78,36,2127,0.427,16.9,0.468,0.144,0.18,0.073,0.071,0.532,0.496,0.8,0.396,0.279,0.357,0.366,0.606,0.957,0.053,25,0.366,0.383
72,Max Christie,21,LAL,SG,46,25,1154,0.444,16.7,0.434,0.181,0.177,0.052,0.024,0.566,0.544,0.865,0.373,0.2,0.143,0.368,0.676,0.95,0.087,21,0.423,0.42
72,Max Christie,21,DAL,SG,32,11,973,0.411,17.2,0.5,0.109,0.182,0.093,0.116,0.5,0.457,0.697,0.418,0.321,0.4,0.364,0.536,0.964,0.02,4,0.305,0.326
73,Josh Giddey,22,CHI,PG,70,69,2117,0.465,12.3,0.652,0.277,0.276,0.076,0.023,0.348,0.512,0.584,0.5,0.377,0.222,0.378,0.414,0.895,0.013,9,0.277,0.39
74,Fred VanVleet,30,HOU,PG,60,60,2111,0.378,20.2,0.393,0.095,0.111,0.07,0.117,0.607,0.43,0.528,0.393,0.434,0.382,0.345,0.234,0.623,0,0,0.093,0.326
75,Keyonte George,21,UTA,PG,67,35,2109,0.391,17.6,0.448,0.073,0.242,0.098,0.036,0.552,0.449,0.627,0.428,0.4,0.364,0.343,0.427,0.649,0.015,11,0.136,0.493
76,Dennis Schröder,31,3TM,PG,75,49,2105,0.406,16.7,0.551,0.129,0.197,0.135,0.089,0.449,0.458,0.636,0.38,0.491,0.324,0.342,0.244,0.756,0,0,0.092,0.471
76,Dennis Schröder,31,BRK,PG,23,23,772,0.452,15.9,0.538,0.197,0.169,0.123,0.049,0.462,0.509,0.656,0.309,0.575,0.438,0.387,0.225,0.672,0,0,0.087,0.462
76,Dennis Schröder,31,GSW,SG,24,18,628,0.375,18.2,0.542,0.016,0.227,0.155,0.143,0.458,0.419,0.75,0.404,0.462,0.361,0.322,0.281,0.892,0,0,0.078,0.444
76,Dennis Schröder,31,DET,PG,28,8,705,0.378,16,0.578,0.155,0.203,0.131,0.088,0.422,0.434,0.59,0.431,0.424,0.182,0.302,0.238,0.75,0,0,0.113,0.5
77,Damian Lillard,34,MIL,PG,58,58,2093,0.448,18.5,0.472,0.169,0.113,0.071,0.119,0.528,0.528,0.655,0.393,0.486,0.5,0.376,0.158,0.574,0.005,5,0.078,0.39
78,Russell Westbrook,36,DEN,PG,75,36,2092,0.449,12.3,0.65,0.314,0.213,0.063,0.06,0.35,0.517,0.682,0.424,0.212,0.3,0.323,0.423,0.862,0.032,23,0.337,0.439
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,0.47,11.3,0.673,0.328,0.266,0.067,0.012,0.327,0.555,0.704,0.452,0.26,0.444,0.293,0.534,0.972,0.097,63,0.318,0.351
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,0.438,17.5,0.399,0.166,0.14,0.063,0.031,0.601,0.524,0.667,0.43,0.359,0.526,0.381,0.612,0.986,0.019,8,0.335,0.468
81,Luguentz Dort,25,OKC,SF,71,71,2073,0.435,19.5,0.304,0.123,0.094,0.059,0.027,0.696,0.489,0.589,0.375,0.429,0.563,0.412,0.67,0.959,0.032,14,0.259,0.421
82,Onyeka Okongwu,24,ATL,C,74,40,2064,0.567,7.9,0.784,0.48,0.263,0.038,0.003,0.216,0.634,0.738,0.472,0.5,0,0.324,0.768,1,0.145,91,0.534,0.354
83,Malik Monk,26,SAC,SG,65,45,2054,0.439,16,0.544,0.145,0.242,0.106,0.051,0.456,0.534,0.632,0.524,0.47,0.438,0.325,0.443,0.82,0.036,29,0.121,0.442
84,Jaylen Wells,21,MEM,SG,79,74,2043,0.425,17.4,0.42,0.142,0.163,0.059,0.056,0.58,0.525,0.729,0.382,0.625,0.316,0.352,0.658,0.906,0.036,20,0.38,0.369
85,Jalen Duren,21,DET,C,78,78,2034,0.692,2.5,1,0.663,0.332,0.004,0.002,0,0.692,0.76,0.558,0.5,1,,0.624,,0.441,219,,
86,Jalen Wilson,24,BRK,PF,79,22,2031,0.397,16.9,0.416,0.165,0.216,0.023,0.013,0.584,0.481,0.608,0.41,0.286,0.375,0.337,0.597,1,0.002,0,0.29,0.352
87,Miles Bridges,26,CHO,PF,64,64,2029,0.431,13.8,0.587,0.242,0.274,0.051,0.02,0.413,0.513,0.712,0.393,0.309,0.273,0.313,0.482,0.908,0.058,55,0.236,0.396
88,Davion Mitchell,26,2TM,PG,74,37,2027,0.468,14.2,0.557,0.271,0.204,0.05,0.032,0.443,0.525,0.651,0.433,0.375,0.267,0.398,0.281,0.821,0,0,0.19,0.425
88,Davion Mitchell,26,TOR,PG,44,22,1080,0.434,15.2,0.52,0.254,0.184,0.049,0.033,0.48,0.504,0.597,0.511,0.083,0.375,0.359,0.359,0.786,0,0,0.171,0.35
88,Davion Mitchell,26,MIA,PG,30,15,947,0.504,13.2,0.595,0.289,0.224,0.052,0.03,0.405,0.543,0.701,0.365,0.667,0.143,0.447,0.213,0.857,0,0,0.213,0.5
89,Franz Wagner,23,ORL,SF,60,60,2023,0.463,12.5,0.697,0.214,0.349,0.091,0.043,0.303,0.535,0.726,0.452,0.491,0.36,0.295,0.446,0.692,0.036,39,0.111,0.436
90,Quentin Grimes,24,2TM,SG,75,37,2013,0.467,16.2,0.488,0.232,0.113,0.077,0.067,0.512,0.552,0.728,0.409,0.397,0.364,0.385,0.441,0.79,0.033,26,0.233,0.49
90,Quentin Grimes,24,DAL,SG,47,12,1070,0.463,16.8,0.449,0.192,0.129,0.068,0.06,0.551,0.543,0.729,0.426,0.36,0.409,0.398,0.562,0.888,0.027,10,0.274,0.455
90,Quentin Grimes,24,PHI,SG,28,25,943,0.469,15.7,0.52,0.264,0.1,0.083,0.072,0.48,0.559,0.727,0.391,0.421,0.333,0.373,0.361,0.695,0.037,16,0.195,0.535
91,Jordan Poole,25,WAS,SG,68,68,2001,0.432,18.8,0.412,0.166,0.156,0.056,0.034,0.588,0.51,0.703,0.412,0.271,0.417,0.378,0.347,0.574,0.01,10,0.087,0.333
92,Draymond Green,34,GSW,PF,68,66,1983,0.424,14.9,0.517,0.187,0.25,0.053,0.028,0.483,0.517,0.6,0.472,0.444,0.5,0.325,0.809,0.988,0.029,14,0.39,0.333
93,Devin Vassell,24,SAS,SG,64,53,1983,0.443,17.2,0.517,0.139,0.105,0.175,0.098,0.483,0.513,0.677,0.419,0.474,0.448,0.368,0.547,0.861,0.046,35,0.228,0.439
94,Klay Thompson,34,DAL,SF,72,72,1965,0.412,20.1,0.369,0.067,0.081,0.105,0.116,0.631,0.448,0.712,0.38,0.37,0.412,0.391,0.69,0.944,0.002,2,0.264,0.39
95,Tyrese Maxey,24,PHI,PG,52,52,1960,0.437,15.1,0.562,0.226,0.22,0.071,0.044,0.438,0.515,0.644,0.408,0.462,0.479,0.337,0.307,0.491,0.014,15,0.084,0.275
96,Norman Powell,31,LAC,SG,60,60,1958,0.484,15.3,0.547,0.184,0.236,0.086,0.041,0.453,0.538,0.718,0.453,0.42,0.462,0.418,0.601,0.793,0.019,16,0.145,0.419
97,Yves Missi,20,NOP,C,73,67,1956,0.547,2.8,0.998,0.667,0.311,0.018,0.002,0.002,0.548,0.619,0.405,0.444,0,0,0.677,,0.297,116,0,
98,Keon Ellis,25,SAC,SG,80,28,1948,0.489,19.8,0.308,0.103,0.119,0.056,0.03,0.692,0.615,0.833,0.6,0.308,0.5,0.433,0.682,0.921,0.05,23,0.324,0.51
99,Bilal Coulibaly,20,WAS,SF,59,59,1948,0.421,13.3,0.641,0.268,0.218,0.096,0.059,0.359,0.5,0.749,0.346,0.283,0.297,0.281,0.51,0.905,0.128,72,0.232,0.346
100,Kyle Kuzma,29,2TM,PF,65,62,1936,0.436,13.5,0.631,0.222,0.285,0.085,0.039,0.369,0.512,0.75,0.413,0.361,0.212,0.307,0.573,0.854,0.029,24,0.246,0.325
100,Kyle Kuzma,29,WAS,PF,32,30,887,0.42,13.3,0.648,0.204,0.314,0.084,0.046,0.352,0.495,0.753,0.399,0.421,0.143,0.281,0.548,0.756,0.037,17,0.194,0.387
100,Kyle Kuzma,29,MIL,PF,33,32,1049,0.455,13.7,0.611,0.242,0.252,0.087,0.031,0.389,0.533,0.747,0.434,0.294,0.333,0.333,0.602,0.941,0.02,7,0.301,0.283
101,Julian Champagnie,23,SAS,SF,82,29,1932,0.415,19.3,0.278,0.159,0.095,0.009,0.015,0.722,0.53,0.623,0.381,0.667,0.4,0.371,0.735,0.972,0.047,23,0.302,0.421
102,Keon Johnson,22,BRK,SG,79,56,1925,0.389,15.6,0.485,0.223,0.191,0.04,0.031,0.515,0.468,0.58,0.362,0.419,0.375,0.314,0.492,0.952,0.059,36,0.294,0.331
103,Naji Marshall,27,DAL,SF,69,31,1919,0.508,12,0.694,0.25,0.33,0.098,0.015,0.306,0.611,0.73,0.528,0.571,0.727,0.275,0.483,1,0.038,20,0.482,0.295
104,Jrue Holiday,34,BOS,PG,62,62,1896,0.443,16.2,0.466,0.164,0.209,0.07,0.023,0.534,0.547,0.723,0.458,0.45,0.385,0.353,0.493,0.861,0.003,1,0.314,0.302
105,Guerschon Yabusele,29,PHI,C,70,43,1895,0.501,14.4,0.513,0.313,0.165,0.028,0.007,0.487,0.616,0.744,0.462,0.188,0.25,0.38,0.725,1,0.089,44,0.241,0.364
106,Gary Trent Jr.,26,MIL,SG,74,9,1893,0.431,20.4,0.341,0.072,0.079,0.111,0.079,0.659,0.46,0.574,0.404,0.493,0.365,0.416,0.476,0.906,0.003,1,0.217,0.489
107,Anthony Black,21,ORL,PG,78,10,1887,0.423,12,0.685,0.255,0.308,0.071,0.052,0.315,0.471,0.627,0.414,0.25,0.344,0.318,0.435,0.839,0.06,30,0.39,0.395
108,Josh Green,24,CHO,SG,68,67,1887,0.428,16.8,0.411,0.185,0.128,0.064,0.033,0.589,0.48,0.615,0.407,0.296,0.357,0.391,0.614,0.979,0.04,17,0.609,0.411
109,Nic Claxton,25,BRK,C,70,62,1882,0.563,5.3,0.963,0.481,0.359,0.1,0.023,0.037,0.576,0.755,0.397,0.456,0.154,0.238,0.673,1,0.229,119,0.381,0.25
110,Andrew Nembhard,25,IND,SG,65,65,1881,0.458,14.9,0.675,0.163,0.187,0.199,0.126,0.325,0.538,0.727,0.535,0.449,0.441,0.291,0.474,0.824,0.002,1,0.269,0.298
111,Cason Wallace,21,OKC,SG,68,43,1876,0.474,13.2,0.575,0.272,0.233,0.055,0.014,0.425,0.562,0.662,0.491,0.407,0.429,0.356,0.563,0.986,0.065,29,0.438,0.341
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,0.526,11.4,0.628,0.357,0.239,0.019,0.014,0.372,0.627,0.752,0.461,0.455,0.5,0.356,0.741,1,0.209,112,0.507,0.351
113,Rui Hachimura,26,LAL,PF,59,57,1869,0.509,13.7,0.571,0.274,0.181,0.073,0.043,0.429,0.581,0.753,0.394,0.5,0.4,0.413,0.817,0.961,0.13,67,0.429,0.425
114,RJ Barrett,24,TOR,SF,58,58,1869,0.468,10.9,0.688,0.354,0.273,0.049,0.012,0.312,0.522,0.624,0.392,0.542,0.417,0.35,0.459,0.925,0.032,27,0.229,0.4
115,Buddy Hield,32,GSW,SG,82,22,1863,0.417,20,0.302,0.093,0.127,0.041,0.041,0.698,0.527,0.726,0.5,0.406,0.281,0.37,0.616,0.931,0.011,9,0.233,0.367
116,Trey Murphy III,24,NOP,SF,53,51,1854,0.454,16.6,0.478,0.217,0.178,0.054,0.03,0.522,0.556,0.725,0.43,0.378,0.4,0.361,0.691,0.848,0.093,73,0.155,0.441
117,Zaccharie Risacher,19,ATL,SF,75,73,1843,0.458,13.5,0.558,0.28,0.216,0.033,0.03,0.442,0.54,0.651,0.458,0.308,0.348,0.355,0.732,0.975,0.095,67,0.41,0.433
118,Andrew Wiggins,29,2TM,SF,60,60,1842,0.448,14.5,0.585,0.168,0.284,0.061,0.073,0.415,0.501,0.596,0.487,0.49,0.344,0.374,0.504,0.869,0.052,40,0.164,0.421
118,Andrew Wiggins,29,GSW,SF,43,43,1296,0.444,14.7,0.578,0.141,0.321,0.049,0.066,0.422,0.491,0.602,0.508,0.448,0.205,0.379,0.551,0.872,0.061,32,0.153,0.447
118,Andrew Wiggins,29,MIA,SF,17,17,546,0.458,14.4,0.602,0.231,0.195,0.088,0.088,0.398,0.523,0.586,0.408,0.545,0.591,0.36,0.405,0.861,0.032,8,0.19,0.368
119,Isaiah Collier,20,UTA,PG,71,46,1839,0.422,12,0.695,0.209,0.368,0.094,0.025,0.305,0.497,0.698,0.451,0.288,0.286,0.249,0.349,0.595,0.027,15,0.26,0.341
120,Keldon Johnson,25,SAS,SF,77,0,1838,0.482,11.3,0.644,0.336,0.277,0.023,0.008,0.356,0.573,0.703,0.451,0.333,0,0.318,0.627,0.897,0.044,30,0.339,0.29
121,Royce O'Neale,31,PHO,SF,75,22,1837,0.423,21.2,0.226,0.089,0.111,0.021,0.005,0.774,0.481,0.725,0.349,0.25,0,0.406,0.71,0.961,0.007,3,0.231,0.529
122,P.J. Washington,26,DAL,PF,57,56,1835,0.453,12.3,0.641,0.223,0.332,0.068,0.018,0.359,0.493,0.703,0.38,0.4,0.333,0.381,0.524,0.901,0.054,34,0.331,0.367
123,CJ McCollum,33,NOP,PG,56,56,1832,0.444,16.1,0.541,0.157,0.185,0.138,0.061,0.459,0.505,0.669,0.443,0.442,0.41,0.373,0.443,0.737,0.003,3,0.144,0.348
124,Haywood Highsmith,28,MIA,SF,74,42,1818,0.458,16.4,0.404,0.205,0.159,0.036,0.005,0.596,0.57,0.688,0.484,0.357,0,0.382,0.667,0.978,0.049,19,0.459,0.439
125,Dorian Finney-Smith,31,2TM,PF,63,40,1818,0.448,18.8,0.278,0.182,0.074,0.018,0.005,0.722,0.545,0.62,0.375,0.5,0.5,0.411,0.697,0.992,0.037,14,0.382,0.45
125,Dorian Finney-Smith,31,BRK,PF,20,20,579,0.459,17.8,0.321,0.226,0.069,0.019,0.006,0.679,0.51,0.611,0.273,0.333,0,0.435,0.692,0.979,0.031,4,0.389,0.405
125,Dorian Finney-Smith,31,LAL,PF,43,20,1239,0.442,19.7,0.254,0.156,0.076,0.018,0.004,0.746,0.571,0.628,0.429,0.6,1,0.398,0.7,1,0.04,10,0.379,0.474
126,Alex Sarr,19,WAS,C,67,67,1814,0.394,14.4,0.588,0.17,0.298,0.086,0.034,0.412,0.454,0.695,0.36,0.324,0.393,0.308,0.701,0.952,0.077,58,0.15,0.373
127,Kyrie Irving,32,DAL,SG,50,50,1804,0.473,14.9,0.62,0.153,0.252,0.134,0.08,0.38,0.517,0.703,0.487,0.441,0.382,0.401,0.32,0.632,0.001,1,0.15,0.5
128,Kyshawn George,21,WAS,SG,68,38,1802,0.372,19.1,0.352,0.159,0.132,0.049,0.011,0.648,0.464,0.609,0.347,0.37,0.167,0.322,0.573,0.921,0.026,11,0.192,0.353
129,Cameron Johnson,28,BRK,PF,57,57,1800,0.475,17.2,0.454,0.191,0.119,0.082,0.062,0.546,0.578,0.783,0.449,0.41,0.413,0.39,0.556,0.906,0.035,24,0.213,0.448
130,Duncan Robinson,30,MIA,SF,74,37,1785,0.437,19.9,0.271,0.122,0.128,0.018,0.003,0.729,0.556,0.642,0.518,0.333,0,0.393,0.76,0.884,0.012,6,0.184,0.427
131,Kris Dunn,30,LAC,PG,74,58,1783,0.439,15.7,0.487,0.13,0.275,0.064,0.018,0.513,0.549,0.719,0.492,0.536,0.25,0.335,0.556,0.933,0.016,7,0.478,0.318
132,Luka Dončić,25,2TM,PG,50,50,1769,0.45,17.4,0.531,0.104,0.193,0.167,0.066,0.469,0.522,0.748,0.535,0.45,0.309,0.368,0.261,0.441,0.001,1,0.046,0.364
132,Luka Dončić,25,DAL,PG,22,22,785,0.464,17.2,0.545,0.099,0.195,0.185,0.067,0.455,0.555,0.783,0.56,0.5,0.355,0.354,0.277,0.48,0.002,1,0.038,0.375
132,Luka Dončić,25,LAL,PG,28,28,984,0.438,17.7,0.519,0.109,0.191,0.152,0.066,0.481,0.493,0.721,0.514,0.4,0.27,0.379,0.245,0.412,0,0,0.052,0.357
133,Scoot Henderson,20,POR,PG,66,10,1759,0.419,14.9,0.566,0.235,0.199,0.072,0.061,0.434,0.469,0.59,0.346,0.49,0.381,0.354,0.253,0.771,0.02,11,0.138,0.39
134,Wendell Carter Jr.,25,ORL,C,68,51,1758,0.46,12.1,0.678,0.324,0.196,0.1,0.059,0.322,0.568,0.748,0.417,0.429,0.31,0.234,0.757,1,0.179,78,0.361,0.263
135,Collin Sexton,26,UTA,SG,63,61,1758,0.48,13.1,0.687,0.151,0.34,0.135,0.061,0.313,0.513,0.618,0.512,0.487,0.321,0.406,0.373,0.682,0.006,3,0.214,0.448
136,Mike Conley,37,MIN,PG,71,64,1756,0.4,19.4,0.338,0.077,0.15,0.081,0.03,0.662,0.38,0.583,0.371,0.342,0,0.41,0.433,0.819,0,0,0.268,0.494
137,Amir Coffey,27,LAC,SG,72,13,1748,0.471,16.2,0.516,0.159,0.169,0.124,0.065,0.484,0.529,0.704,0.419,0.476,0.485,0.409,0.683,0.97,0.063,28,0.368,0.462
138,Jimmy Butler,35,2TM,SF,55,55,1746,0.504,9,0.826,0.317,0.335,0.127,0.047,0.174,0.546,0.741,0.43,0.487,0.214,0.308,0.554,0.875,0.092,52,0.5,0.385
138,Jimmy Butler,35,MIA,PF,25,25,766,0.54,8.1,0.863,0.361,0.335,0.133,0.034,0.137,0.568,0.758,0.432,0.486,0.222,0.361,0.519,0.846,0.099,26,0.583,0.429
138,Jimmy Butler,35,GSW,SF,30,30,980,0.476,9.9,0.796,0.281,0.335,0.123,0.057,0.204,0.526,0.723,0.429,0.488,0.211,0.279,0.586,0.895,0.087,26,0.456,0.355
139,Aaron Wiggins,26,OKC,SG,76,26,1744,0.488,14.2,0.534,0.28,0.187,0.048,0.019,0.466,0.578,0.725,0.397,0.457,0.5,0.383,0.573,0.923,0.027,17,0.324,0.364
140,Walker Kessler,23,UTA,C,58,58,1740,0.663,4.3,0.919,0.611,0.301,0.005,0.002,0.081,0.706,0.77,0.595,0,0,0.176,0.618,1,0.329,131,0.235,0.5
141,De'Andre Hunter,27,2TM,SF,64,9,1740,0.47,16.5,0.491,0.15,0.192,0.1,0.05,0.509,0.537,0.649,0.473,0.487,0.553,0.405,0.637,0.911,0.039,26,0.281,0.367
141,De'Andre Hunter,27,ATL,SF,37,4,1064,0.461,16.4,0.498,0.144,0.199,0.1,0.055,0.502,0.531,0.662,0.449,0.49,0.556,0.393,0.685,0.938,0.045,18,0.259,0.391
141,De'Andre Hunter,27,CLE,SF,27,5,676,0.485,16.6,0.478,0.159,0.178,0.1,0.041,0.522,0.55,0.628,0.521,0.481,0.545,0.426,0.549,0.867,0.03,8,0.319,0.333
142,Ochai Agbaji,24,TOR,SG,64,45,1739,0.498,13.2,0.526,0.365,0.124,0.028,0.009,0.474,0.587,0.672,0.439,0.2,0.4,0.399,0.794,0.96,0.069,33,0.542,0.416
143,Brandin Podziemski,21,GSW,SG,64,33,1716,0.445,17.2,0.509,0.111,0.2,0.135,0.062,0.491,0.516,0.671,0.508,0.482,0.333,0.372,0.552,0.843,0.002,0,0.172,0.396
144,Jabari Smith Jr.,21,HOU,PF,57,39,1716,0.438,16.2,0.511,0.173,0.145,0.145,0.048,0.489,0.519,0.704,0.427,0.5,0.185,0.354,0.567,0.969,0.057,28,0.235,0.354
145,Anthony Davis,31,2TM,PF,51,51,1706,0.516,10.8,0.864,0.297,0.291,0.144,0.132,0.136,0.553,0.756,0.487,0.344,0.475,0.282,0.605,0.886,0.099,86,0.081,0.1
145,Anthony Davis,31,LAL,C,42,42,1440,0.528,9.6,0.876,0.301,0.309,0.142,0.124,0.124,0.56,0.763,0.496,0.361,0.457,0.298,0.597,0.964,0.103,75,0.096,0
145,Anthony Davis,31,DAL,PF,9,9,266,0.461,12,0.803,0.276,0.204,0.151,0.171,0.197,0.516,0.714,0.419,0.261,0.538,0.233,0.651,0.571,0.079,11,0.033,1
146,Bradley Beal,31,PHO,SG,53,38,1702,0.497,15.2,0.62,0.159,0.199,0.143,0.12,0.38,0.565,0.764,0.536,0.505,0.422,0.386,0.519,0.873,0.024,16,0.303,0.413
147,Georges Niang,31,2TM,PF,79,3,1697,0.461,18.1,0.34,0.139,0.158,0.035,0.008,0.66,0.569,0.64,0.571,0.364,0.2,0.406,0.833,0.988,0,0,0.377,0.409
147,Georges Niang,31,CLE,PF,51,1,1053,0.477,17.6,0.353,0.172,0.141,0.037,0.003,0.647,0.618,0.633,0.673,0.385,0,0.4,0.829,0.989,0,0,0.444,0.43
147,Georges Niang,31,ATL,PF,28,2,644,0.441,18.7,0.324,0.096,0.18,0.033,0.015,0.676,0.5,0.654,0.469,0.333,0.25,0.413,0.841,0.987,0,0,0.293,0.37
148,Jakob Poeltl,29,TOR,C,57,56,1686,0.627,5,0.995,0.496,0.344,0.145,0.01,0.005,0.628,0.746,0.518,0.512,0.333,0.333,0.746,1,0.055,29,0.333,1
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,0.48,12.5,0.631,0.261,0.296,0.061,0.013,0.369,0.528,0.658,0.466,0.333,0.25,0.397,0.5,0.977,0.02,11,0.205,0.489
150,Kevin Huerter,26,2TM,SG,69,31,1679,0.425,18.8,0.353,0.134,0.151,0.04,0.028,0.647,0.587,0.765,0.505,0.458,0.353,0.338,0.76,0.932,0.015,8,0.23,0.389
150,Kevin Huerter,26,SAC,SG,43,15,899,0.413,19.3,0.339,0.129,0.132,0.045,0.032,0.661,0.629,0.75,0.512,0.643,0.6,0.302,0.788,0.952,0.01,3,0.22,0.311
150,Kevin Huerter,26,CHI,SG,26,16,780,0.439,18.3,0.367,0.139,0.17,0.034,0.024,0.633,0.546,0.78,0.5,0.2,0,0.376,0.729,0.914,0.02,5,0.242,0.467
151,Santi Aldama,24,MEM,PF,65,16,1660,0.483,15.6,0.497,0.208,0.21,0.059,0.02,0.503,0.599,0.763,0.493,0.5,0.308,0.368,0.642,0.967,0.073,46,0.261,0.412
152,A.J. Green,25,MIL,SG,73,7,1659,0.429,24,0.144,0.028,0.017,0.038,0.061,0.856,0.443,0.667,0.143,0.5,0.385,0.427,0.741,0.942,0,0,0.292,0.528
153,Al Horford,38,BOS,C,60,42,1659,0.423,19,0.319,0.119,0.163,0.015,0.022,0.681,0.551,0.745,0.467,0.429,0.2,0.363,0.827,0.991,0.017,8,0.318,0.39
154,Terry Rozier,30,MIA,PG,64,23,1658,0.391,15.7,0.515,0.173,0.216,0.072,0.054,0.485,0.48,0.6,0.394,0.435,0.5,0.295,0.459,0.802,0.002,1,0.412,0.268
155,Peyton Watson,22,DEN,SF,68,18,1656,0.477,10.7,0.682,0.35,0.257,0.058,0.016,0.318,0.534,0.707,0.382,0.32,0,0.353,0.801,0.979,0.178,59,0.551,0.453
156,Moses Moody,22,GSW,SG,74,34,1649,0.433,17,0.407,0.137,0.201,0.055,0.014,0.593,0.519,0.718,0.509,0.194,0,0.374,0.667,0.968,0.033,17,0.368,0.435
157,Tristan Da Silva,23,ORL,SF,74,38,1629,0.412,15.1,0.505,0.197,0.23,0.043,0.035,0.495,0.488,0.589,0.468,0.333,0.235,0.335,0.613,0.95,0.062,23,0.393,0.372
