Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
516,Jamaree Bouyea,25,MIL,PG,5,1,62,0.5,0.714,0.2,0.542,0.667,0.581,0.5,0.417,107,131,56,100,85,101,206,99,0,0.1
517,Cam Christie,19,LAC,SG,13,0,59,0.292,0.455,0.154,0.333,0.5,0.349,0.167,0.542,62,83,43,61,64,61,69,129,-10.1,-11.7
518,P.J. Tucker,39,NYK,SF,3,1,58,0.429,0,0.5,0.643,,0.643,0,0.857,92,0,139,118,,112,0,204,1.4,0.9
519,Jazian Gortman,21,DAL,PG,16,0,57,0.391,0.417,0.364,0.478,0.5,0.485,0.174,0.478,84,76,101,88,64,84,72,114,-3,-4.5
520,Liam Robbins,25,MIL,C,13,0,57,0.25,0.333,0,0.25,0.5,0.363,1.25,0.25,54,61,0,46,64,63,515,59,-4.7,-5.3
521,E.J. Liddell,24,CHI,PF,12,0,53,0.533,1,0.3,0.633,1,0.661,0.133,0.667,114,183,83,117,128,115,55,158,2.7,2.7
522,Jackson Rowe,28,GSW,PF,6,0,52,0.471,0.714,0.3,0.559,0.5,0.56,0.353,0.588,101,131,83,103,64,97,145,140,0.5,-0.6
523,N'Faly Dante,23,HOU,C,4,0,51,0.769,0.769,,0.769,0.8,0.789,0.385,0,165,141,,142,103,137,158,0,5.9,6.5
524,Isaiah Crawford,23,SAC,SF,15,0,46,0.455,0.667,0.2,0.5,0.5,0.509,0.364,0.455,97,122,56,92,64,88,150,108,-0.9,-1.7
525,Mason Jones,26,SAC,SG,10,0,45,0.5,0.8,0.125,0.528,0.8,0.569,0.278,0.444,107,147,35,97,103,99,114,106,-0.6,-0.3
526,Phillip Wheeler,22,PHI,PF,5,0,44,0.143,0.273,0,0.143,1,0.183,0.095,0.476,31,50,0,26,128,32,39,113,-16.8,-17.2
